feature_name,source_table,calculation,temporal_window,leakage_status,feature_family
sleep_delta_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_cv_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
ts_count_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_hours_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_avg_dur_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_hours_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_count_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_practice_count_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_gym_count_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_scrimmage_count_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_hours_acwr_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_scrimmage_ratio,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
ts_gym_ratio,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Training Sessions
hr_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_std_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_max_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_min_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_p10_resting_proxy,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_p90_high_proxy,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_pct_elevated_120,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_pct_elevated_140,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_mean_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_ratio_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
hr_delta_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Cardiovascular
bmi,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
experience_age_ratio,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
workload_sleep_deficit_interaction,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
workload_age_interaction,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
prior_injury_acwr_interaction,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Interaction / Composite
